,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Lat Yao,15.751,99.7893,83.71,75,78,2.44,TH,2021-10-07 02:44:00,broken clouds
1,Broome,42.2506,-75.833,62.56,80,1,4.61,US,2021-10-07 02:44:00,clear sky
2,Kirkuk,35.4681,44.3922,70.99,24,0,6.24,IQ,2021-10-07 02:44:00,clear sky
3,Kyra,49.5776,111.9753,46.81,53,94,2.93,RU,2021-10-07 02:44:01,overcast clouds
4,Barrow,71.2906,-156.7887,33.82,86,90,6.91,US,2021-10-07 02:44:01,mist
5,Tasiilaq,65.6145,-37.6368,30.36,59,5,6.17,GL,2021-10-07 02:43:59,clear sky
6,Balkhash,46.844,74.9804,34.41,64,0,13.42,KZ,2021-10-07 02:44:01,clear sky
7,Cherskiy,68.75,161.3,16.3,94,64,6.38,RU,2021-10-07 02:44:02,broken clouds
8,San Ignacio,17.1561,-89.0714,75.06,94,94,2.95,BZ,2021-10-07 02:44:02,overcast clouds
9,Pevek,69.7008,170.3133,26.46,76,100,10.8,RU,2021-10-07 02:43:56,overcast clouds
10,Torbay,47.6666,-52.7314,54.27,91,40,13.8,CA,2021-10-07 02:44:02,scattered clouds
11,Rikitea,-23.1203,-134.9692,74.12,77,100,16.42,PF,2021-10-07 02:44:03,overcast clouds
12,Boyuibe,-20.4167,-63.2833,69.78,60,100,10.67,BO,2021-10-07 02:44:03,moderate rain
13,Rorvik,64.8621,11.2373,51.24,87,100,25.9,NO,2021-10-07 02:44:04,overcast clouds
14,Fos-Sur-Mer,43.4377,4.9446,57.31,62,0,19.57,FR,2021-10-07 02:44:04,clear sky
15,Khatanga,71.9667,102.5,16.93,95,87,5.39,RU,2021-10-07 02:44:04,overcast clouds
16,Baghdad,33.3406,44.4009,62.51,45,0,8.05,IQ,2021-10-07 02:44:05,clear sky
17,Yulara,-25.2406,130.9889,75.04,35,0,13.8,AU,2021-10-07 02:44:05,clear sky
18,Dikson,73.5069,80.5464,30.18,81,96,8.63,RU,2021-10-07 02:44:05,overcast clouds
19,The Valley,18.217,-63.0578,83.1,77,97,20.0,AI,2021-10-07 02:39:59,overcast clouds
20,Los Llanos De Aridane,28.6585,-17.9182,67.75,72,75,8.05,ES,2021-10-07 02:44:06,broken clouds
21,Castro,-24.7911,-50.0119,63.28,98,100,2.68,BR,2021-10-07 02:44:06,moderate rain
22,Mao,39.8885,4.2658,63.16,72,75,6.91,ES,2021-10-07 02:44:06,broken clouds
23,Ballina,-28.8667,153.5667,82.78,60,48,18.41,AU,2021-10-07 02:44:07,scattered clouds
24,Hilo,19.7297,-155.09,81.28,73,75,10.36,US,2021-10-07 02:40:26,broken clouds
25,Ushuaia,-54.8,-68.3,38.86,87,40,17.27,AR,2021-10-07 02:41:29,scattered clouds
26,Hasaki,35.7333,140.8333,73.8,68,99,10.25,JP,2021-10-07 02:44:07,overcast clouds
27,Chokurdakh,70.6333,147.9167,19.26,91,95,7.31,RU,2021-10-07 02:44:07,overcast clouds
28,Thompson,55.7435,-97.8558,46.56,71,75,6.91,CA,2021-10-07 02:44:08,broken clouds
29,Norman Wells,65.282,-126.8329,30.24,86,20,3.44,CA,2021-10-07 02:42:20,few clouds
30,Tigre,-34.426,-58.5796,54.21,55,0,10.36,AR,2021-10-07 02:44:08,clear sky
31,Chiredzi,-21.05,31.6667,67.33,87,19,8.46,ZW,2021-10-07 02:44:08,few clouds
32,Saint-Philippe,-21.3585,55.7679,69.39,80,19,7.02,RE,2021-10-07 02:43:58,few clouds
33,Lighthouse Point,26.2756,-80.0873,84.24,79,40,9.22,US,2021-10-07 02:44:09,scattered clouds
34,Salinopolis,-0.6136,-47.3561,79.47,85,37,7.0,BR,2021-10-07 02:44:09,scattered clouds
35,Dillon,34.4166,-79.3712,76.01,74,100,8.1,US,2021-10-07 02:44:09,overcast clouds
36,Bluff,-46.6,168.3333,67.8,65,98,6.85,NZ,2021-10-07 02:43:34,overcast clouds
37,Pacific Grove,36.6177,-121.9166,63.77,73,1,3.0,US,2021-10-07 02:44:10,clear sky
38,Nuuk,64.1835,-51.7216,36.21,69,90,12.66,GL,2021-10-07 02:44:10,overcast clouds
39,Carnarvon,-24.8667,113.6333,69.87,49,0,17.27,AU,2021-10-07 02:44:11,clear sky
40,Calabozo,8.9242,-67.4293,80.2,68,100,7.72,VE,2021-10-07 02:44:11,overcast clouds
41,Mar Del Plata,-38.0023,-57.5575,48.99,70,75,11.01,AR,2021-10-07 02:44:11,broken clouds
42,Vaini,-21.2,-175.2,80.76,89,75,11.5,TO,2021-10-07 02:44:11,broken clouds
43,Bengkulu,-3.8004,102.2655,78.39,84,97,1.88,ID,2021-10-07 02:43:57,overcast clouds
44,Guerrero Negro,27.9769,-114.0611,70.61,75,27,14.27,MX,2021-10-07 02:43:55,scattered clouds
45,Butaritari,3.0707,172.7902,81.79,69,54,13.6,KI,2021-10-07 02:44:12,broken clouds
46,Atuona,-9.8,-139.0333,78.22,78,15,18.97,PF,2021-10-07 02:44:12,light rain
47,Geraldton,-28.7667,114.6,68.41,40,0,10.36,AU,2021-10-07 02:44:13,clear sky
48,Port Alfred,-33.5906,26.891,63.59,88,7,19.3,ZA,2021-10-07 02:44:13,clear sky
49,Saint Anthony,45.0205,-93.218,71.22,75,90,1.01,US,2021-10-07 02:44:13,overcast clouds
50,Mataura,-46.1927,168.8643,67.48,38,87,3.24,NZ,2021-10-07 02:43:41,overcast clouds
51,Taywarah,33.35,64.4167,53.26,17,0,2.57,AF,2021-10-07 02:44:14,clear sky
52,Punta Arenas,-53.15,-70.9167,42.91,65,20,13.8,CL,2021-10-07 02:44:14,few clouds
53,Miyazu,35.5333,135.1833,80.8,52,0,8.14,JP,2021-10-07 02:44:14,clear sky
54,New Norfolk,-42.7826,147.0587,59.72,50,7,5.99,AU,2021-10-07 02:44:15,clear sky
55,Ponta Do Sol,32.6667,-17.1,72.23,79,100,2.93,PT,2021-10-07 02:44:15,overcast clouds
56,Ishigaki,24.3448,124.1572,84.33,84,75,11.5,JP,2021-10-07 02:39:34,broken clouds
57,Norsup,-16.0667,167.3833,81.75,75,48,7.65,VU,2021-10-07 02:44:15,scattered clouds
58,Jamestown,42.097,-79.2353,65.84,91,1,1.01,US,2021-10-07 02:44:16,clear sky
59,Cape Town,-33.9258,18.4232,63.12,66,0,1.99,ZA,2021-10-07 02:44:16,clear sky
60,Kapaa,22.0752,-159.319,84.18,67,40,5.01,US,2021-10-07 02:44:17,scattered clouds
